ID ODS,NAME,ADDRESS,PHONE_NUMBER
143495142,ОДС №2-Ивановское,"город Москва, улица Чечулина, дом 10",8 (495) 539-53-53
143495152,ОДС №2-Новокосино,"город Москва, Суздальская улица, дом 34А",8 (495) 539-53-53
143495153,ОДС №2-Перово,"город Москва, 1-я Владимирская улица, дом 17А",8 (495) 539-53-53
143495156,ОДС №2-Преображенское,"город Москва, Преображенская улица, дом 5/7",8 (495) 539-53-53
143495160,ОДС №2-Сокольники,"город Москва, улица Сокольнический Вал, дом 46",8 (495) 539-53-53
143495510,ОДС №54-Гольяново,"город Москва, Хабаровская улица, дом 4",8 (495) 539-53-53
143495517,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27",8 (495) 539-53-53
143495536,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21",8 (495) 539-53-53
143495538,ОДС №5-Ивановское,"город Москва, Саянская улица, дом 15, корпус 3",8 (495) 539-53-53
143495546,ОДС №5-Новокосино,"город Москва, Новокосинская улица, дом 27",8 (495) 539-53-53
143495547,ОДС №5-Перово,"город Москва, Новогиреевская улица, дом 19/2",8 (495) 539-53-53
143495549,ОДС №5-Преображенское,"город Москва, Большая Черкизовская улица, дом 26, корпус 6",8 (495) 539-53-53
143495553,ОДС №5-Сокольники,"город Москва, улица Короленко, дом 7, корпус 3",8 (495) 539-53-53
143495250,ОДС №1-Восточное Измайлово,"город Москва, 15-я Парковая улица, дом 26, корпус 4",8 (495) 539-53-53
143495251,ОДС №1-Восточный,"город Москва, улица 9 Мая, дом 28",8 (495) 539-53-53
143495253,ОДС №1-Ивановское,"город Москва, Челябинская улица, дом 8",8 (495) 539-53-53
143495262,ОДС №1-Перово,"город Москва, улица Плеханова, дом 3, корпус 2",8 (495) 539-53-53
143495268,ОДС №1-Соколиная Гора,"город Москва, 5-я улица Соколиной Горы, дом 25А",8 (495) 539-53-53
143495294,ОДС №20-Гольяново,"город Москва, Байкальская улица, дом 38, корпус 2",8 (495) 539-53-53
143495309,ОДС №21-Вешняки,"город Москва, Реутовская улица, дом 4 ",8 (495) 539-53-53
143495311,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",8 (495) 539-53-53
143495312,ОДС №21-Измайлово,"город Москва, 3-я Парковая улица, дом 22А",8 (495) 539-53-53
143495344,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1",8 (495) 539-53-53
143495347,ОДС №4-Ивановское,"город Москва, шоссе Энтузиастов, дом 96, корпус 1",8 (495) 539-53-53
143495356,ОДС №4-Перово,"город Москва, 3-я Владимирская улица, дом 3, корпус 3",8 (495) 539-53-53
143495358,ОДС №4-Преображенское,"город Москва, Буженинова улица, дом 22",8 (495) 539-53-53
143495362,ОДС №4-Соколиная Гора,"город Москва, Зверинецкая улица, дом 25",8 (495) 539-53-53
143495363,ОДС №4-Сокольники,"город Москва, 4-я Сокольническая улица, дом 2",8 (495) 539-53-53
